EAR,Mouth,Drowsy
0.42675323610503246,0.0002530785773048072,0
0.44066838431222033,0.0002458836594554285,0
0.4570848185710045,0.0008011440637053644,0
0.41645687461839065,0.00011793933874639287,0
0.47462585029611504,0.00033808585209352596,0
0.4445020246742341,0.0002074877409265682,0
0.4210035017505045,0.00034143917658467957,0
0.42947747686247323,0.0004925533966650781,0
0.432198010055841,0.00019606044386148748,0
0.43829503478678905,0.000670958051811133,0
0.44730140580600514,0.00011843069444535936,0
0.4585084312256372,0.00025171594762717233,0
0.45523186684695127,7.111153871201227e-05,0
0.3773723490950115,0.00045610007364837665,0
0.4517954496339157,0.00021227819141738248,0
0.46394504923367896,0.00026081309648902547,0
0.24874873747811593,0.00026392170099989536,0
0.2865076308477753,0.0021745414174371494,0
0.6724953888390276,0.00017268676364772182,0
0.889041735280168,0.00048119707213539845,0
0.7549862632163358,0.00022341749023851252,0
0.8312652328033464,9.154605965323575e-05,0
0.6918875902186066,6.173349483836734e-05,0
0.7423024100895105,0.0001086835904606047,0
0.7022455055149024,0.00023372052129722997,0
0.5401317376691652,0.00032747358697214206,1
0.59773453951975,0.0002933915052939989,1
0.5847718352898452,0.0003596575134775174,1
0.6260414452330141,0.00028243343153090987,1
0.6069701153744795,0.0002214459594706498,1
0.6206566760627659,0.00033487883977267673,1
0.5838125287766025,0.00069630144240819,1
0.6295802356791365,0.0003441841194585587,1
0.6938011018574326,8.794868830288561e-05,1
0.6309214713936073,0.0003549546027237981,1
0.6070455361296617,0.00015347047873948656,1
0.636061348480513,0.00021991694874303684,1
0.362728245671214,0.00035447900032485185,1
0.3290046858263743,0.00030146634631290865,1
0.2927342793817933,0.0034903589813036658,1
0.3432446927986781,0.001187146633224159,1
0.3384743450111354,0.00019557244032534956,1
0.31162569617223085,0.0001908991616394223,1
0.28055735534024506,0.001408775469971411,1
0.35440656340726495,0.0003014890016955006,1
0.31279017620927807,0.0011526262091622575,1
0.28457330482737503,0.0001427800122345615,1
0.20691614542536096,0.000534018400414927,1
0.2723503143365809,0.00037943128684960923,1
0.20379238963952567,0.00040854922763344277,1
0.2216520884495915,0.0009087963112590703,1
0.2635288770802382,0.0003984954237025068,1
0.2752880885573348,0.0003055402288092536,1
0.2866417523401987,0.0005715683601245134,1
